model,classifier,fold,F1,Precision,Recall,Specificity,Accuracy,AUC
PAN_KEGG,LR,9,0.694,0.654,0.739,0.625,0.681,0.682
PAN_KEGG,LR,10,0.652,0.652,0.652,0.667,0.66,0.659
PAN_HPO,SVM,1,0.681,0.667,0.696,0.667,0.681,0.681
PAN_HPO,SVM,2,0.657,0.489,1.0,0.0,0.489,0.5
PAN_HPO,SVM,3,0.717,0.633,0.826,0.542,0.681,0.684
PAN_HPO,SVM,4,0.667,0.607,0.739,0.542,0.638,0.64
PAN_HPO,SVM,5,0.571,0.538,0.609,0.5,0.553,0.554
PAN_HPO,SVM,6,0.72,0.667,0.783,0.625,0.702,0.704
PAN_HPO,SVM,7,0.638,0.625,0.652,0.625,0.638,0.639
PAN_HPO,SVM,8,0.654,0.586,0.739,0.5,0.617,0.62
PAN_HPO,SVM,9,0.625,0.6,0.652,0.583,0.617,0.618
PAN_HPO,SVM,10,0.679,0.576,0.826,0.417,0.617,0.621
PAN_HPO,LR,1,0.667,0.737,0.609,0.792,0.702,0.7
PAN_HPO,LR,2,0.605,0.65,0.565,0.708,0.638,0.637
PAN_HPO,LR,3,0.717,0.633,0.826,0.542,0.681,0.684
PAN_HPO,LR,4,0.638,0.625,0.652,0.625,0.638,0.639
PAN_HPO,LR,5,0.565,0.565,0.565,0.583,0.574,0.574
PAN_HPO,LR,6,0.681,0.667,0.696,0.667,0.681,0.681
PAN_HPO,LR,7,0.638,0.625,0.652,0.625,0.638,0.639
PAN_HPO,LR,8,0.692,0.621,0.783,0.542,0.66,0.662
PAN_HPO,LR,9,0.694,0.654,0.739,0.625,0.681,0.682
PAN_HPO,LR,10,0.692,0.621,0.783,0.542,0.66,0.662
PAN_DO,SVM,1,0.735,0.692,0.783,0.667,0.723,0.725
PAN_DO,SVM,2,0.667,0.682,0.652,0.708,0.681,0.68
PAN_DO,SVM,3,0.755,0.667,0.87,0.583,0.723,0.726
PAN_DO,SVM,4,0.64,0.593,0.696,0.542,0.617,0.619
PAN_DO,SVM,5,0.465,0.5,0.435,0.583,0.511,0.509
PAN_DO,SVM,6,0.706,0.643,0.783,0.583,0.681,0.683
PAN_DO,SVM,7,0.558,0.6,0.522,0.667,0.596,0.594
PAN_DO,SVM,8,0.553,0.542,0.565,0.542,0.553,0.553
PAN_DO,SVM,9,0.667,0.607,0.739,0.542,0.638,0.64
PAN_DO,SVM,10,0.692,0.621,0.783,0.542,0.66,0.662
PAN_DO,LR,1,0.667,0.682,0.652,0.708,0.681,0.68
PAN_DO,LR,2,0.609,0.609,0.609,0.625,0.617,0.617
PAN_DO,LR,3,0.76,0.704,0.826,0.667,0.745,0.746
PAN_DO,LR,4,0.653,0.615,0.696,0.583,0.638,0.639
PAN_DO,LR,5,0.522,0.522,0.522,0.542,0.532,0.532
PAN_DO,LR,6,0.679,0.6,0.783,0.5,0.638,0.641
PAN_DO,LR,7,0.609,0.609,0.609,0.625,0.617,0.617
PAN_DO,LR,8,0.706,0.643,0.783,0.583,0.681,0.683
PAN_DO,LR,9,0.553,0.542,0.565,0.542,0.553,0.553
PAN_DO,LR,10,0.691,0.594,0.826,0.458,0.638,0.642
