"gene","pathway"
"HRAS","ORPHA:146"
"HRAS","OMIM:218040"
"HRAS","OMIM:163200"
"HRAS","ORPHA:2874"
"HRAS","ORPHA:3071"
"HRAS","ORPHA:2612"
"HRG","ORPHA:217467"
"HRG","OMIM:613116"
"HSD3B2","ORPHA:90791"
"HSD3B2","OMIM:201810"
"HSD11B1","OMIM:614662"
"HSD11B1","ORPHA:168588"
"HSD11B2","OMIM:218030"
"HSD11B2","ORPHA:320"
"HSD17B3","OMIM:264300"
"HSD17B3","ORPHA:752"
"HSD17B4","OMIM:261515"
"HSD17B4","OMIM:233400"
"HSD17B4","ORPHA:2855"
"HSD17B4","ORPHA:300"
"HSF4","ORPHA:441452"
"HSF4","ORPHA:98994"
"HSF4","OMIM:116800"
"DNAJB2","OMIM:617017"
"DNAJB2","ORPHA:443950"
"DNAJB2","ORPHA:314485"
"DNAJB2","OMIM:614881"
"HSPA9","ORPHA:260305"
"HSPA9","OMIM:182170"
"HSPA9","OMIM:616854"
"HSPB1","OMIM:606595"
"HSPB1","ORPHA:139525"
"HSPB1","ORPHA:99940"
"HSPB1","OMIM:608634"
"IGSF3","ORPHA:451612"
"IGSF3","OMIM:149700"
"HSPD1","OMIM:612233"
"HSPD1","ORPHA:280288"
"HSPD1","ORPHA:100994"
"HSPD1","OMIM:605280"
"HSPG2","ORPHA:1865"
"HSPG2","ORPHA:800"
"HSPG2","OMIM:255800"
"HSPG2","OMIM:224410"
"NDST1","OMIM:616116"
"NDST1","ORPHA:88616"
"HTR1A","OMIM:614674"
"TNC","ORPHA:90635"
"TNC","OMIM:615629"
"HYAL1","OMIM:601492"
"HYAL1","ORPHA:67041"
"IARS","OMIM:617093"
"IRF8","OMIM:614894"
"IRF8","ORPHA:319600"
"IRF8","OMIM:614893"
"IDH1","ORPHA:251576"
"IDH1","ORPHA:99646"
"IDH1","ORPHA:251579"
"IDH1","ORPHA:163634"
"IDH1","ORPHA:296"
"IDH2","ORPHA:251604"
"IDH2","ORPHA:251663"
"IDH2","ORPHA:251589"
"IDH2","ORPHA:79315"
"IDH2","ORPHA:251630"
"IDH2","ORPHA:251598"
"IDH2","ORPHA:251627"
"IDH2","ORPHA:251656"
"IDH2","OMIM:613657"
"IDH2","ORPHA:163634"
"IDH2","ORPHA:251601"
"IDH2","ORPHA:296"
"IDH3B","ORPHA:791"
"IDH3B","OMIM:612572"
"IDS","ORPHA:217085"
"IDS","OMIM:309900"
"IDS","ORPHA:217093"
"IDUA","ORPHA:93476"
"IDUA","OMIM:607015"
"IDUA","ORPHA:93474"
"IDUA","OMIM:607016"
"IDUA","ORPHA:93473"
"IDUA","OMIM:607014"
"CFI","ORPHA:244242"
"CFI","ORPHA:244275"
"CFI","ORPHA:75376"
"CFI","OMIM:610984"
"CFI","ORPHA:200418"
"CFI","ORPHA:93580"
"SP110","ORPHA:79124"
"SP110","OMIM:235550"
"IFNAR2","OMIM:616669"
"IFNAR2","ORPHA:431166"
"IFNGR1","OMIM:209950"
"IFNGR1","ORPHA:319569"
"IFNGR1","ORPHA:99898"
"IFNGR1","OMIM:615978"
"IFNGR1","ORPHA:319581"
"IFNGR2","OMIM:614889"
"IFNGR2","ORPHA:319574"
"IFNGR2","ORPHA:319547"
"IFNGR2","ORPHA:319589"
"IGBP1","OMIM:300472"
"IGBP1","ORPHA:52055"
"IGF1","ORPHA:73272"
"IGF1","OMIM:608747"
"IGF1R","ORPHA:73273"
"IGF1R","OMIM:270450"
"IGF2","OMIM:616489"
"IGF2","ORPHA:397590"
"IGF2","ORPHA:2128"
"IGF2","OMIM:194070"
"IGF2","ORPHA:231140"
"IGF2","OMIM:180860"
"IGF2","ORPHA:231117"
"IGF2","OMIM:130650"
"IGF2","ORPHA:231144"
"IGF2R","OMIM:114550"
"IGFALS","ORPHA:140941"
"IGFALS","OMIM:615961"
"IGFBP7","OMIM:614224"
"IGFBP7","ORPHA:284247"
"IGH","ORPHA:545"
"IGH","ORPHA:99860"
"IGH","ORPHA:52416"
"IGH","ORPHA:52417"
"IGHM","OMIM:601495"
"IGHM","ORPHA:33110"
"IGHMBP2","ORPHA:98920"
"IGHMBP2","OMIM:604320"
"IGHMBP2","OMIM:616155"
"IGHMBP2","ORPHA:443073"
"IGKC","OMIM:614102"
"IGKC","ORPHA:183675"
"RBPJ","ORPHA:974"
"RBPJ","OMIM:614814"
"IGLL1","OMIM:613500"
"IGLL1","ORPHA:33110"
"IGSF1","OMIM:300888"
"IGSF1","ORPHA:329235"
"IHH","ORPHA:93388"
"IHH","OMIM:112500"
"IHH","OMIM:607778"
"IHH","ORPHA:63446"
"IKBKB","ORPHA:397787"
"IKBKB","OMIM:615592"
"IL1RN","ORPHA:210115"
"IL1RN","OMIM:612852"
"IL2RA","ORPHA:169100"
"IL2RA","ORPHA:85408"
"IL2RA","ORPHA:85410"
"IL2RA","OMIM:606367"
"IL2RB","ORPHA:85408"
"IL2RB","ORPHA:85410"
"IL2RG","ORPHA:39041"
"IL2RG","OMIM:312863"
"IL2RG","OMIM:300400"
"IL2RG","ORPHA:276"
"IL6","ORPHA:85414"
"IL7R","OMIM:608971"
"IL7R","ORPHA:39041"
"IL7R","ORPHA:169154"
"IL10","ORPHA:117"
"IL10","ORPHA:238569"
"IL10RA","OMIM:613148"
"IL10RA","ORPHA:238569"
"IL10RB","OMIM:612567"
"IL10RB","ORPHA:238569"
"IL11RA","OMIM:614188"
"IL11RA","ORPHA:284149"
"IL12A","ORPHA:117"
"IL12A","ORPHA:186"
"IL12B","ORPHA:3287"
"IL12B","ORPHA:319558"
"IL12B","OMIM:614890"
"IL12RB1","ORPHA:319552"
"IL12RB1","OMIM:614891"
"IL12RB1","ORPHA:186"
"IMPA1","OMIM:617323"
"IMPDH1","ORPHA:65"
"IMPDH1","ORPHA:791"
"IMPDH1","OMIM:180105"
"IMPDH1","OMIM:613837"
"IMPG1","ORPHA:99000"
"IMPG1","OMIM:616151"
"ING1","ORPHA:67037"
"ING1","OMIM:275355"
"INS","OMIM:606176"
"INS","OMIM:613370"
"INS","OMIM:616214"
"INS","OMIM:125852"
"INS","ORPHA:552"
"INS","ORPHA:99885"
"INPPL1","ORPHA:3144"
"INPPL1","ORPHA:2746"
"INPPL1","OMIM:258480"
"INSL3","OMIM:219050"
"INSR","ORPHA:769"
"INSR","ORPHA:263458"
"INSR","OMIM:609968"
"INSR","OMIM:246200"
"INSR","ORPHA:508"
"INSR","OMIM:262190"
"INSR","OMIM:610549"
"INSR","ORPHA:2297"
"PDX1","OMIM:606176"
"PDX1","OMIM:260370"
"PDX1","ORPHA:552"
"PDX1","OMIM:606392"
"PDX1","ORPHA:99885"
"PDX1","ORPHA:2805"
"IPW","OMIM:176270"
"ITGA6","ORPHA:79403"
"ITGA6","OMIM:226730"
"IRF1","OMIM:211980"
"IRF1","OMIM:613659"
"IRF5","ORPHA:220393"
"IRF5","ORPHA:220402"
"IRF5","ORPHA:186"
"IRF6","OMIM:119300"
"IRF6","ORPHA:199306"
"IRF6","ORPHA:99798"
"IRF6","ORPHA:1300"
"IRF6","OMIM:119500"
"IRF6","ORPHA:141291"
"IRF6","ORPHA:888"
"IRF6","ORPHA:199302"
"IRF7","OMIM:616345"
"ISL1","ORPHA:93930"
"ITGA2","OMIM:614200"
"ITGA2","ORPHA:853"
"ITGA2B","OMIM:187800"
"ITGA2B","ORPHA:140957"
"ITGA2B","OMIM:273800"
"ITGA2B","ORPHA:853"
"ITGA2B","ORPHA:849"
"ITGA3","ORPHA:306504"
"ITGA3","OMIM:614748"
"ITGA7","ORPHA:2020"
"ITGA7","OMIM:613204"
"ITGA7","ORPHA:34520"
"ITGB2","ORPHA:99842"
"ITGB2","OMIM:116920"
"ITGB3","OMIM:187800"
"ITGB3","ORPHA:140957"
"ITGB3","OMIM:273800"
"ITGB3","ORPHA:853"
"ITGB3","ORPHA:849"
"ITGB4","ORPHA:79403"
"ITGB4","OMIM:131800"
"ITGB4","OMIM:226650"
"ITGB4","OMIM:226730"
"ITGB4","ORPHA:158684"
"ITGB4","ORPHA:251393"
"ITGB4","ORPHA:79402"
"ITGB6","ORPHA:100032"
"ITGB6","ORPHA:100031"
"ITGB6","OMIM:616221"
"ITGB6","ORPHA:2850"
"ITK","OMIM:613011"
"ITK","ORPHA:238505"
"STT3A","OMIM:615596"
"STT3A","ORPHA:370921"
"ITPA","OMIM:616647"
"ITPA","ORPHA:457375"
"ITPA","ORPHA:284113"
"ITPR1","ORPHA:1065"
"ITPR1","OMIM:206700"
"ITPR1","ORPHA:208513"
"ITPR1","ORPHA:98769"
"ITPR2","ORPHA:468666"
"ITPR2","OMIM:106190"
"IVD","ORPHA:33"
"IVD","OMIM:243500"
"JAK2","ORPHA:729"
"JAK2","OMIM:133100"
"JAK2","ORPHA:131"
"JAK2","OMIM:614521"
"JAK2","OMIM:254450"
"JAK2","ORPHA:3318"
"JAK2","ORPHA:824"
"JAK2","OMIM:263300"
"JAK2","ORPHA:71493"
"JAK3","OMIM:600802"
"JAK3","ORPHA:35078"
"JUP","ORPHA:293899"
"JUP","ORPHA:158687"
"JUP","ORPHA:293888"
"JUP","ORPHA:34217"
"JUP","ORPHA:293910"
"JUP","OMIM:601214"
"JUP","OMIM:611528"
"ANOS1","ORPHA:432"
"ANOS1","OMIM:308700"
"ANOS1","ORPHA:478"
"KARS","OMIM:613916"
"KARS","ORPHA:90636"
"KARS","OMIM:613641"
"KARS","ORPHA:254334"
"KCNA1","ORPHA:37612"
"KCNA1","ORPHA:972"
"KCNA1","ORPHA:199326"
"KCNA1","OMIM:160120"
"KCNA2","OMIM:616366"
"KCNA2","ORPHA:442835"
"KCNA5","ORPHA:334"
"KCNA5","OMIM:612240"
"KCNB1","OMIM:616056"
"KCNB1","ORPHA:442835"
"KCNC1","OMIM:616187"
"KCNC1","ORPHA:435438"
"KCNC3","ORPHA:98768"
"KCNC3","OMIM:605259"
"KCND3","OMIM:616399"
"KCND3","ORPHA:130"
"KCND3","OMIM:607346"
"KCND3","ORPHA:98772"
"KCNE1","ORPHA:90647"
"KCNE1","ORPHA:334"
"KCNE1","ORPHA:101016"
"KCNE1","OMIM:613695"
"KCNE1","OMIM:612347"
"KCNH1","OMIM:135500"
"KCNH1","ORPHA:3473"
"KCNH1","OMIM:611816"
"KCNH1","ORPHA:420561"
"KCNH2","OMIM:609620"
"KCNH2","OMIM:613688"
"KCNH2","ORPHA:101016"
"KCNH2","ORPHA:51083"
"KCNJ1","OMIM:241200"
"KCNJ1","ORPHA:93604"
"KCNJ2","OMIM:613980"
"KCNJ2","ORPHA:334"
"KCNJ2","ORPHA:51083"
"KCNJ2","OMIM:170390"
"KCNJ2","OMIM:609622"
"KCNJ2","ORPHA:37553"
"KCNJ5","OMIM:613485"
"KCNJ5","ORPHA:101016"
"KCNJ5","OMIM:613677"
"KCNJ5","ORPHA:251274"
"KCNJ5","ORPHA:37553"
"KCNJ6","OMIM:614098"
"KCNJ6","ORPHA:435628"
"KCNJ8","ORPHA:130"
"KCNJ8","ORPHA:1517"
"KCNJ10","OMIM:612780"
"KCNJ10","ORPHA:199343"
"KCNJ10","OMIM:274600"
"KCNJ10","OMIM:600791"
"KCNJ10","ORPHA:705"
"KCNJ11","OMIM:606176"
"KCNJ11","ORPHA:276603"
"KCNJ11","OMIM:610582"
"KCNJ11","ORPHA:276580"
"KCNJ11","OMIM:601820"
"KCNJ11","ORPHA:99989"
"KCNJ11","ORPHA:79644"
"KCNJ11","ORPHA:552"
"KCNJ11","ORPHA:79134"
"KCNJ11","ORPHA:99886"
"KCNJ11","ORPHA:99885"
"KCNJ11","OMIM:616329"
"KCNJ13","ORPHA:65"
"KCNJ13","OMIM:193230"
"KCNJ13","OMIM:614186"
"KCNJ13","ORPHA:91496"
"KCNK3","OMIM:615344"
"KCNK3","ORPHA:275777"
"KCNMA1","OMIM:617643"
"KCNMA1","ORPHA:79137"
"KCNMA1","OMIM:609446"
"KCNN4","OMIM:616689"
"KCNN4","ORPHA:3202"
"KCNQ1","ORPHA:90647"
"KCNQ1","ORPHA:334"
"KCNQ1","ORPHA:101016"
"KCNQ1","OMIM:609621"
"KCNQ1","OMIM:130650"
"KCNQ1","OMIM:220400"
"KCNQ1","ORPHA:51083"
"KCNQ1","OMIM:192500"
"KCNQ1","OMIM:607554"
"KCNQ2","OMIM:121200"
"KCNQ2","ORPHA:306"
"KCNQ2","OMIM:613720"
"KCNQ2","ORPHA:1949"
"KCNQ2","ORPHA:140927"
"KCNQ2","ORPHA:439218"
"KCNQ3","ORPHA:307"
"KCNQ3","ORPHA:306"
"KCNQ3","ORPHA:1949"
"KCNQ3","OMIM:121201"
"KDR","OMIM:602089"
"KIF2A","OMIM:615411"
"KIF5A","OMIM:617235"
"KIF5A","ORPHA:100991"
"KIF5A","OMIM:604187"
"KIF5A","ORPHA:324611"
"KIF5C","OMIM:615282"
"KISS1","ORPHA:432"
"KISS1","OMIM:614842"
"KIT","ORPHA:158775"
"KIT","ORPHA:98829"
"KIT","ORPHA:280785"
"KIT","ORPHA:98849"
"KIT","ORPHA:842"
"KIT","ORPHA:158778"
"KIT","ORPHA:102724"
"KIT","ORPHA:158772"
"KIT","ORPHA:158793"
"KIT","ORPHA:90389"
"KIT","OMIM:154800"
"KIT","ORPHA:158766"
"KIT","ORPHA:158799"
"KIT","ORPHA:79455"
"KIT","OMIM:606764"
"KIT","ORPHA:2884"
"KIT","OMIM:172800"
"KIT","ORPHA:158769"
"KIT","OMIM:273300"
"KIT","ORPHA:158796"
"KIT","ORPHA:280794"
"KIT","ORPHA:98834"
"KIT","ORPHA:44890"
"KLKB1","OMIM:612423"
"KLKB1","ORPHA:749"
"KIF11","ORPHA:2526"
"KIF11","OMIM:152950"
"KIF22","OMIM:603546"
"KIF22","ORPHA:93360"
"KRAS","ORPHA:3339"
"KRAS","ORPHA:146"
"KRAS","OMIM:615278"
"KRAS","OMIM:109800"
"KRAS","ORPHA:2396"
"KRAS","ORPHA:357194"
"KRAS","OMIM:137215"
"KRAS","OMIM:609942"
"KRAS","ORPHA:648"
"KRAS","ORPHA:357191"
"KRAS","OMIM:114480"
"KRAS","ORPHA:268114"
"KRAS","OMIM:163200"
"KRAS","OMIM:211980"
"KRAS","ORPHA:1340"
"KRAS","ORPHA:86834"
"KRAS","OMIM:260350"
"KRAS","OMIM:601626"
"KRAS","ORPHA:251612"
"KRAS","ORPHA:144"
"KRAS","ORPHA:1333"
"KRAS","ORPHA:2612"
"KRT1","ORPHA:79503"
"KRT1","OMIM:607602"
"KRT1","ORPHA:312"
"KRT1","OMIM:607654"
"KRT1","ORPHA:2199"
"KRT1","OMIM:600962"
"KRT1","ORPHA:281190"
"KRT1","ORPHA:281139"
"KRT1","ORPHA:50942"
"KRT1","OMIM:144200"
"KRT1","OMIM:146590"
"KRT1","OMIM:113800"
"KRT2","OMIM:146800"
"KRT2","ORPHA:455"
"KRT3","ORPHA:98954"
"KRT3","OMIM:122100"
"KRT4","OMIM:193900"
"KRT4","ORPHA:171723"
"KRT5","ORPHA:79399"
"KRT5","ORPHA:79397"
"KRT5","ORPHA:79145"
"KRT5","OMIM:131760"
"KRT5","ORPHA:79400"
"KRT5","ORPHA:79396"
"KRT5","OMIM:131960"
"KRT5","OMIM:609352"
"KRT5","OMIM:179850"
"KRT5","OMIM:131800"
"KRT5","OMIM:601001"
"KRT5","OMIM:131900"
"KRT5","ORPHA:158681"
"KRT6A","ORPHA:2309"
"KRT6A","OMIM:615726"
"KRT6B","OMIM:615728"
"KRT6B","ORPHA:2309"
"KRT9","ORPHA:2199"
"KRT9","OMIM:144200"
"KRT10","OMIM:609165"
"KRT10","OMIM:607602"
"KRT10","ORPHA:312"
"KRT10","ORPHA:281190"
"KRT10","ORPHA:281139"
"KRT10","OMIM:113800"
"KRT12","ORPHA:98954"
"KRT12","OMIM:122100"
"KRT13","ORPHA:171723"
"KRT13","OMIM:615785"
"KRT14","ORPHA:89838"
"KRT14","ORPHA:79399"
"KRT14","ORPHA:79397"
"KRT14","OMIM:131760"
"KRT14","ORPHA:86920"
"KRT14","ORPHA:79400"
"KRT14","ORPHA:79396"
"KRT14","ORPHA:69087"
"KRT14","OMIM:131800"
"KRT14","OMIM:601001"
"KRT14","OMIM:131900"
"KRT14","OMIM:161000"
"KRT14","OMIM:125595"
"KRT16","OMIM:167200"
"KRT16","ORPHA:2199"
"KRT16","OMIM:613000"
"KRT16","ORPHA:2309"
"KRT17","OMIM:167210"
"KRT17","OMIM:184500"
"KRT17","ORPHA:2309"
"KRT17","ORPHA:841"
"KRT81","ORPHA:573"
"KRT81","OMIM:158000"
"KRT83","ORPHA:573"
"KRT83","OMIM:617756"
"KRT83","ORPHA:316"
"KRT83","OMIM:158000"
"KRT85","OMIM:602032"
"KRT85","ORPHA:69084"
"KRT86","ORPHA:573"
"KRT86","OMIM:158000"
"L1CAM","OMIM:304100"
"L1CAM","ORPHA:2466"
"L1CAM","OMIM:303350"
"L1CAM","OMIM:307000"
"L1CAM","ORPHA:306617"
"L1CAM","ORPHA:2182"
"L1CAM","ORPHA:1497"
"LAMA2","ORPHA:258"
"LAMA2","OMIM:607855"
"LAMA3","ORPHA:79404"
"LAMA3","OMIM:226650"
"LAMA3","OMIM:245660"
"LAMA3","OMIM:226700"
"LAMA3","ORPHA:2407"
"LAMA3","ORPHA:79402"
"LAMA4","OMIM:615235"
"LAMA4","ORPHA:154"
"LAMB1","OMIM:615191"
"LAMB1","ORPHA:352682"
"LAMB2","OMIM:614199"
"LAMB2","ORPHA:306507"
"LAMB2","ORPHA:2670"
"LAMB2","OMIM:609049"
"LAMB2","ORPHA:98915"
"LAMB3","ORPHA:100031"
"LAMB3","ORPHA:79404"
"LAMB3","OMIM:226650"
"LAMB3","OMIM:226700"
"LAMB3","OMIM:104530"
"LAMB3","ORPHA:79402"
"LAMC2","ORPHA:79404"
"LAMC2","OMIM:226650"
"LAMC2","OMIM:226700"
"LAMC2","ORPHA:79405"
"LAMC2","ORPHA:79402"
"LAMP2","ORPHA:34587"
"LAMP2","OMIM:300257"
"RPSA","ORPHA:101351"
"RPSA","OMIM:271400"
"LBR","OMIM:613471"
"LBR","ORPHA:448267"
"LBR","ORPHA:1426"
"LBR","ORPHA:779"
"LBR","OMIM:169400"
"LBR","OMIM:215140"
"LCAT","OMIM:245900"
"LCAT","OMIM:136120"
"LCAT","ORPHA:79292"
"LCAT","ORPHA:79293"
"LCK","OMIM:615758"
"LCK","ORPHA:280142"
"LCT","ORPHA:53690"
"LCT","OMIM:223000"
"LDHA","ORPHA:284426"
"LDHA","OMIM:612933"
"LDLR","OMIM:143890"
"LDLR","ORPHA:391665"
"LEP","OMIM:614962"
"LEP","ORPHA:66628"
"LEPR","OMIM:614963"
"LEPR","ORPHA:179494"
"LETM1","OMIM:194190"
"LETM1","ORPHA:280"
"LFNG","OMIM:609813"
"LFNG","ORPHA:2311"
"LHB","ORPHA:325448"
"LHB","OMIM:228300"
"LHCGR","ORPHA:96266"
"LHCGR","ORPHA:3000"
"LHCGR","ORPHA:96265"
"LHCGR","OMIM:176410"
"LHCGR","OMIM:238320"
"LHX1","ORPHA:261265"
"LIFR","ORPHA:3206"
"LIFR","OMIM:601559"
"LIG4","ORPHA:235"
"LIG4","ORPHA:39041"
"LIG4","ORPHA:99812"
"LIG4","OMIM:606593"
"LIM2","OMIM:615277"
"LIM2","ORPHA:98994"
"LIMK1","ORPHA:904"
"LIPA","ORPHA:75234"
"LIPA","OMIM:278000"
"LIPA","ORPHA:75233"
"LIPC","OMIM:614025"
"LIPC","ORPHA:140905"
"LIPE","OMIM:615980"
"LIPE","ORPHA:435660"
"LMAN1","ORPHA:35909"
"LMAN1","OMIM:227300"
"LMNA","OMIM:610140"
"LMNA","OMIM:248370"
"LMNA","ORPHA:280365"
"LMNA","OMIM:605588"
"LMNA","OMIM:613205"
"LMNA","ORPHA:2229"
"LMNA","OMIM:181350"
"LMNA","ORPHA:98855"
"LMNA","ORPHA:98856"
"LMNA","ORPHA:54260"
"LMNA","ORPHA:264"
"LMNA","ORPHA:79084"
"LMNA","ORPHA:293899"
"LMNA","ORPHA:293888"
"LMNA","ORPHA:79474"
"LMNA","OMIM:212112"
"LMNA","ORPHA:168796"
"LMNA","OMIM:115200"
"LMNA","ORPHA:1662"
"LMNA","OMIM:159001"
"LMNA","ORPHA:99706"
"LMNA","OMIM:151660"
"LMNA","OMIM:275210"
"LMNA","ORPHA:90153"
"LMNA","ORPHA:98853"
"LMNA","OMIM:176670"
"LMNA","ORPHA:157973"
"LMNA","ORPHA:293910"
"LMNA","ORPHA:740"
"LMNA","ORPHA:363618"
"LMNA","ORPHA:300751"
"LMNA","ORPHA:2348"
"LMNA","OMIM:616516"
"LMNB1","ORPHA:99027"
"LMNB1","OMIM:169500"
"LMO1","ORPHA:635"
"LMX1B","ORPHA:2614"
"LMX1B","ORPHA:495818"
"LMX1B","OMIM:161200"
"LOR","OMIM:604117"
"LOR","ORPHA:79395"
"LOR","ORPHA:316"
"LOX","ORPHA:91387"
"LOX","OMIM:617168"
"LPL","ORPHA:70470"
"LPL","ORPHA:309015"
"LPL","OMIM:144250"
"LPL","OMIM:238600"
"LRP1","ORPHA:79100"
"LRP1","ORPHA:2340"
"LRP1","OMIM:604093"
"LRP2","ORPHA:2143"
"LRP2","OMIM:222448"
"LRP4","OMIM:614305"
"LRP4","OMIM:616304"
"LRP4","ORPHA:3152"
"LRP4","OMIM:212780"
"LRP4","ORPHA:98913"
"LRP4","ORPHA:3258"
"LRP6","OMIM:616724"
"LRP6","ORPHA:99798"
"LRP5","ORPHA:3416"
"LRP5","OMIM:133780"
"LRP5","OMIM:144750"
"LRP5","ORPHA:2788"
"LRP5","OMIM:607636"
"LRP5","OMIM:601813"
"LRP5","ORPHA:498481"
"LRP5","ORPHA:891"
"LRP5","ORPHA:2924"
"LRP5","OMIM:259770"
"LRP5","ORPHA:2783"
"LRP5","OMIM:607634"
"LRP5","ORPHA:90050"
"LRP5","ORPHA:178377"
"LRP5","ORPHA:2790"
"LRPAP1","OMIM:615431"
"LRPAP1","ORPHA:98619"
"LSS","OMIM:616509"
"LSS","ORPHA:98994"
"LTBP2","OMIM:251750"
"LTBP2","OMIM:600975"
"LTBP2","OMIM:613086"
"LTBP2","ORPHA:238763"
"LTBP2","ORPHA:3449"
"LTBP2","OMIM:614819"
"LTBP2","ORPHA:98976"
"LTBP3","OMIM:613097"
"LTBP3","ORPHA:2899"
"LTBP3","ORPHA:969"
"LTBP3","OMIM:617809"
"LTBP3","ORPHA:2623"
"LTBP3","OMIM:601216"
"LTC4S","OMIM:614037"
"LTC4S","ORPHA:79507"
"SH2D1A","ORPHA:2442"
"SH2D1A","OMIM:308240"
"LYZ","OMIM:105200"
"LYZ","ORPHA:93561"
"TACSTD2","OMIM:204870"
"TACSTD2","ORPHA:98957"
"EPCAM","OMIM:613217"
"EPCAM","OMIM:613244"
"EPCAM","ORPHA:92050"
"EPCAM","ORPHA:144"
"SMAD3","ORPHA:91387"
"SMAD3","ORPHA:284984"
"SMAD3","OMIM:613795"
"SMAD4","OMIM:139210"
"SMAD4","OMIM:175050"
"SMAD4","ORPHA:2588"
"SMAD4","ORPHA:774"
"SMAD4","ORPHA:329971"
"SMAD4","OMIM:260350"
"SMAD4","OMIM:174900"
"SMAD4","ORPHA:1333"
"SMAD6","OMIM:614823"
"SMAD6","ORPHA:402075"
"SMAD9","OMIM:615342"
"SMAD9","ORPHA:275777"
"MAF","ORPHA:98989"
"MAF","ORPHA:1377"
"MAF","OMIM:610202"
"MAF","ORPHA:98984"
"MAF","OMIM:601088"
"MAG","OMIM:616680"
"MAG","ORPHA:459056"
"MAK","OMIM:614181"
"MAK","ORPHA:791"
"MAN2B1","ORPHA:309288"
"MAN2B1","ORPHA:309282"
"MAN2B1","OMIM:248500"
"MANBA","OMIM:248510"
"MANBA","ORPHA:118"
"MAOA","OMIM:300615"
"MAOA","ORPHA:3057"
"MAPT","ORPHA:100070"
"MAPT","OMIM:601104"
"MAPT","ORPHA:240085"
"MAPT","OMIM:172700"
"MAPT","OMIM:260540"
"MAPT","ORPHA:240071"
"MAPT","OMIM:600274"
"MAPT","ORPHA:240103"
"MAPT","ORPHA:275864"
"MAPT","ORPHA:100069"
"MAPT","ORPHA:240094"
"MAPT","ORPHA:240112"
"MARS","ORPHA:401835"
"MARS","OMIM:615486"
"MARS","ORPHA:440427"
"MARS","OMIM:616280"
"MARS","ORPHA:397735"
"MAT1A","OMIM:250850"
"MAT1A","ORPHA:168598"
"MATN3","OMIM:607078"
"MATN3","ORPHA:156728"
"MATN3","ORPHA:93311"
"MATN3","OMIM:608728"
"MAX","ORPHA:29072"
"MC1R","ORPHA:618"
"MC1R","ORPHA:626"
"MC1R","ORPHA:79432"
"MC2R","ORPHA:361"
"MC2R","OMIM:202200"
"MC4R","ORPHA:71529"
"MC4R","OMIM:601665"
"CHST6","OMIM:217800"
"CHST6","ORPHA:98969"
"MCM2","ORPHA:90635"
"MCM2","OMIM:616968"
"MCM4","OMIM:609981"
"MCM4","ORPHA:75391"
"MCM6","OMIM:223100"
"MDH2","OMIM:617339"
"MDH2","ORPHA:29072"
"MDM2","ORPHA:99970"
"MDM2","ORPHA:524"
"MDM2","ORPHA:99971"
"MECP2","OMIM:300055"
"MECP2","OMIM:300673"
"MECP2","ORPHA:3077"
"MECP2","ORPHA:209370"
"MECP2","ORPHA:3095"
"MECP2","ORPHA:777"
"MECP2","ORPHA:1762"
"MECP2","OMIM:312750"
"MECP2","OMIM:300260"
"MECP2","ORPHA:778"
"MEF2C","ORPHA:228384"
"MEF2C","OMIM:613443"
"MEFV","ORPHA:329967"
"MEFV","ORPHA:117"
"MEFV","OMIM:134610"
"MEFV","OMIM:249100"
"MEFV","ORPHA:342"
"MEIS2","OMIM:600987"
"MEIS2","ORPHA:261190"
"MAP3K1","OMIM:613762"
"MAP3K1","ORPHA:251510"
"MAP3K1","ORPHA:242"
"MEN1","ORPHA:97279"
"MEN1","ORPHA:99879"
"MEN1","ORPHA:2965"
"MEN1","ORPHA:314790"
"MEN1","ORPHA:652"
"MEN1","OMIM:131100"
"MEN1","ORPHA:314786"
"MEOX1","OMIM:214300"
"MEOX1","ORPHA:2345"
"MET","OMIM:605074"
"MET","ORPHA:90636"
"MET","OMIM:114550"
"MET","ORPHA:47044"
"MET","OMIM:616705"
"MET","ORPHA:319298"
"MET","ORPHA:488265"
"MET","ORPHA:33402"
"MGAT2","ORPHA:79329"
"MGAT2","OMIM:212066"
"KITLG","ORPHA:895"
"KITLG","ORPHA:90635"
"KITLG","OMIM:145250"
"KITLG","OMIM:616697"
"KITLG","ORPHA:363494"
"KITLG","ORPHA:79146"
"KITLG","ORPHA:280628"
"MGMT","ORPHA:618"
"MGMT","ORPHA:251576"
"MGMT","ORPHA:251579"
"MGP","ORPHA:85202"
"MGP","OMIM:245150"
"CIITA","OMIM:209920"
"CIITA","ORPHA:572"
"MID1","ORPHA:306597"
"MID1","OMIM:189960"
"MID1","OMIM:300000"
"MIF","ORPHA:85414"
"MIP","ORPHA:98989"
"MIP","ORPHA:98993"
"MIP","ORPHA:441452"
"MIP","ORPHA:98991"
"MIP","ORPHA:98994"
"MIP","ORPHA:98985"
"MIP","OMIM:615274"
"MIPEP","OMIM:617228"
"MIPEP","ORPHA:478049"
"MITF","ORPHA:618"
"MITF","ORPHA:895"
"MITF","OMIM:193510"
"MITF","ORPHA:293822"
"MITF","ORPHA:404511"
"MITF","OMIM:617306"
"MITF","ORPHA:352740"
"MITF","OMIM:103470"
"MITF","ORPHA:319298"
"MITF","ORPHA:42665"
"MITF","OMIM:103500"
"ATXN3","ORPHA:276241"
"ATXN3","ORPHA:276238"
"ATXN3","OMIM:109150"
