"gene","pathway"
"ALK","ORPHA:357191"
"ALK","ORPHA:146"
"ALK","ORPHA:364043"
"ALK","ORPHA:635"
"ALK","ORPHA:178342"
"ALK","ORPHA:300895"
"ALOX12B","OMIM:242100"
"ALOX12B","ORPHA:313"
"ALOX12B","ORPHA:79394"
"ALOX12B","ORPHA:281122"
"ALPL","OMIM:241510"
"ALPL","OMIM:241500"
"ALPL","ORPHA:247638"
"ALPL","ORPHA:247623"
"ALPL","OMIM:146300"
"ALPL","ORPHA:247685"
"ALPL","ORPHA:247667"
"ALPL","ORPHA:247651"
"ALPL","ORPHA:247676"
"ALX3","OMIM:136760"
"ALX3","ORPHA:391474"
"AMBN","ORPHA:100031"
"AMBN","OMIM:616270"
"AMELX","ORPHA:100033"
"AMELX","OMIM:301200"
"AMH","OMIM:261550"
"AMH","ORPHA:2856"
"AMHR2","OMIM:261550"
"AMHR2","ORPHA:2856"
"AMPD1","OMIM:615511"
"AMPD1","ORPHA:45"
"AMPD2","OMIM:615686"
"AMPD2","ORPHA:369920"
"AMPD2","ORPHA:401805"
"AMPD2","OMIM:615809"
"AMPD3","ORPHA:45"
"BIN1","OMIM:255200"
"BIN1","ORPHA:169189"
"BIN1","ORPHA:169186"
"AMT","ORPHA:289857"
"AMT","ORPHA:289863"
"AMT","OMIM:605899"
"AMT","ORPHA:289860"
"ANG","OMIM:611895"
"ANG","ORPHA:803"
"ANK1","ORPHA:251066"
"ANK1","ORPHA:822"
"ANK1","OMIM:182900"
"ANK2","ORPHA:101016"
"ANK2","OMIM:600919"
"ANK3","OMIM:615493"
"ANK3","ORPHA:356996"
"SLC25A4","OMIM:615418"
"SLC25A4","ORPHA:254892"
"SLC25A4","OMIM:617184"
"SLC25A4","OMIM:609283"
"SLC25A4","ORPHA:1369"
"APC","OMIM:135290"
"APC","OMIM:114500"
"APC","OMIM:175100"
"APC","OMIM:114550"
"APC","ORPHA:247806"
"APC","ORPHA:873"
"APC","OMIM:613659"
"APC","ORPHA:261584"
"APC","ORPHA:314022"
"APC","ORPHA:79665"
"APC","ORPHA:99818"
"APC","ORPHA:3258"
"AIRE","ORPHA:3453"
"AIRE","OMIM:240300"
"AIRE","ORPHA:189466"
"BIRC3","ORPHA:52417"
"XIAP","ORPHA:2442"
"XIAP","OMIM:300635"
"XIAP","OMIM:308240"
"APOA1","OMIM:105200"
"APOA1","OMIM:604091"
"APOA1","ORPHA:93560"
"APOA1","ORPHA:425"
"APOB","OMIM:615558"
"APOB","OMIM:144010"
"APOB","ORPHA:391665"
"APOC2","OMIM:207750"
"APOC2","ORPHA:309020"
"APOC3","OMIM:614028"
"APOC3","ORPHA:79506"
"APOE","OMIM:611771"
"APOE","OMIM:617347"
"APOE","OMIM:104310"
"APOE","ORPHA:329481"
"APOE","OMIM:269600"
"APOE","ORPHA:412"
"APOE","ORPHA:158029"
"APOE","OMIM:606889"
"APP","ORPHA:100006"
"APP","ORPHA:1020"
"APP","ORPHA:324703"
"APP","OMIM:104300"
"APP","ORPHA:324723"
"APP","ORPHA:324718"
"APP","ORPHA:324708"
"APP","OMIM:605714"
"APP","ORPHA:324713"
"APRT","OMIM:614723"
"APRT","ORPHA:976"
"FAS","OMIM:601859"
"FAS","ORPHA:117"
"FAS","ORPHA:3437"
"FAS","ORPHA:3261"
"FASLG","OMIM:601859"
"FASLG","ORPHA:3261"
